-44	3.206861467347713*^-55 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -44.]
-43	4.236646471332066*^-54 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -43.]
-42	5.44557640821783*^-53 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -42.]
-41	6.80996830712625*^-52 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -41.]
-40	8.285637514240737*^-51 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -40.]
-39	9.808133592014592*^-50 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -39.]
-38	1.1296045152591274*^-48 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -38.]
-37	1.265744564235139*^-47 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -37.]
-36	1.3798927296274647*^-46 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -36.]
-35	1.463606016453851*^-45 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -35.]
-34	1.510367562391861*^-44 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -34.]
-33	1.5164242394315297*^-43 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -33.]
-32	1.4812841981752297*^-42 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -32.]
-31	1.4077828371792927*^-41 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -31.]
-30	1.3017049211010196*^-40 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -30.]
-29	1.1710327237623508*^-39 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -29.]
-28	1.0249557592806921*^-38 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -28.]
-27	8.72812209951172*^-38 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -27.]
-26	7.2312955207471046*^-37 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -26.]
-25	5.828959146054694*^-36 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -25.]
-24	4.571360979500938*^-35 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -24.]
-23	3.4880253010093415*^-34 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -23.]
-22	2.5893653986074796*^-33 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -22.]
-21	1.8701939951169055*^-32 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -21.]
-20	1.31419430334838*^-31 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -20.]
-19	8.984876388607742*^-31 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -19.]
-18	5.976463025669908*^-30 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -18.]
-17	3.867728419610792*^-29 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -17.]
-16	2.4352710745983377*^-28 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -16.]
-15	1.4918262796255396*^-27 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -15.]
-14	8.891372401677359*^-27 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -14.]
-13	5.1558343029836533*^-26 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -13.]
-12	2.908765476792963*^-25 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -12.]
-11	1.5966071383773941*^-24 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -11.]
-10	8.526426062704453*^-24 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -10.]
-9	4.430121102415363*^-23 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -9.]
-8	2.239462375513296*^-22 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -8.]
-7	1.1014164198877498*^-21 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -7.]
-6	5.270343564728747*^-21 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -6.]
-5	2.4536121391091473*^-20 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -5.]
-4	1.1113542134366862*^-19 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -4.]
-3	4.897547911345513*^-19 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -3.]
-2	2.0998317125658642*^-18 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -2.]
-1	8.759309896663132*^-18 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], -1.]
0	3.554961461178166*^-17 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 0.]
1	1.403716828613159*^-16 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 1.]
2	5.392668453440636*^-16 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 2.]
3	2.0156147980097343*^-15 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 3.]
4	7.329780346312366*^-15 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 4.]
5	2.5933073231084968*^-14 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 5.]
6	8.926816691610338*^-14 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 6.]
7	2.9896396958949915*^-13 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 7.]
8	9.741384599926563*^-13 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 8.]
9	3.088176636170697*^-12 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 9.]
10	9.524960426997621*^-12 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 10.]
11	2.8582738183837783*^-11 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 11.]
12	8.344956681134248*^-11 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 12.]
13	2.370412595327184*^-10 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 13.]
14	6.550936803386261*^-10 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 14.]
15	1.7614181930478416*^-9 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 15.]
16	4.60787988560014*^-9 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 16.]
17	1.1727877632394907*^-8 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 17.]
18	2.9041383797961667*^-8 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 18.]
19	6.996724776542069*^-8 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 19.]
20	1.6400303290236087*^-7 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 20.]
21	3.7401461443406876*^-7 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 21.]
22	8.29860072013767*^-7 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 22.]
23	1.791433826992027*^-6 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 23.]
24	3.762497984267279*^-6 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 24.]
25	7.688318838505846*^-6 + 0.10437283745492401*PDF[SkellamDistribution[40.155164423305045, -10.380473470374985], 25.]
